2013-05-24 05:22:41 status half-installed findutils:amd64 4.4.2-4
2013-05-24 05:22:42 status unpacked findutils:amd64 4.4.2-4
2013-05-24 05:22:42 status unpacked findutils:amd64 4.4.2-4
2013-05-24 05:22:42 install grep:amd64 <none> 2.12-2
2013-05-24 05:22:42 status half-installed grep:amd64 2.12-2
2013-05-24 05:22:42 status unpacked grep:amd64 2.12-2
2013-05-24 05:22:43 status unpacked grep:amd64 2.12-2
2013-05-24 05:22:43 install gzip:amd64 <none> 1.5-1.1
2013-05-24 05:22:43 status half-installed gzip:amd64 1.5-1.1
2013-05-24 05:22:43 status unpacked gzip:amd64 1.5-1.1
2013-05-24 05:22:43 status unpacked gzip:amd64 1.5-1.1
2013-05-24 05:22:43 install hostname:amd64 <none> 3.11
2013-05-24 05:22:43 status half-installed hostname:amd64 3.11
2013-05-24 05:22:44 status unpacked hostname:amd64 3.11
2013-05-24 05:22:44 status unpacked hostname:amd64 3.11
2013-05-24 05:22:44 install login:amd64 <none> 1:4.1.5.1-1
2013-05-24 05:22:44 status half-installed login:amd64 1:4.1.5.1-1
2013-05-24 05:22:44 status unpacked login:amd64 1:4.1.5.1-1
2013-05-24 05:22:45 status unpacked login:amd64 1:4.1.5.1-1
2013-05-24 05:22:45 install ncurses-base:all <none> 5.9-10
2013-05-24 05:22:45 status half-installed ncurses-base:all 5.9-10
2013-05-24 05:22:45 status unpacked ncurses-base:all 5.9-10
2013-05-24 05:22:45 status unpacked ncurses-base:all 5.9-10
2013-05-24 05:22:45 install ncurses-bin:amd64 <none> 5.9-10
2013-05-24 05:22:45 status half-installed ncurses-bin:amd64 5.9-10
2013-05-24 05:22:46 status unpacked ncurses-bin:amd64 5.9-10
2013-05-24 05:22:46 status unpacked ncurses-bin:amd64 5.9-10
2013-05-24 05:22:46 install sed:amd64 <none> 4.2.1-10
2013-05-24 05:22:46 status half-installed sed:amd64 4.2.1-10
2013-05-24 05:22:46 status unpacked sed:amd64 4.2.1-10
2013-05-24 05:22:46 status unpacked sed:amd64 4.2.1-10
2013-05-24 05:22:47 install sysvinit:amd64 <none> 2.88dsf-41
2013-05-24 05:22:47 status half-installed sysvinit:amd64 2.88dsf-41
2013-05-24 05:22:47 status unpacked sysvinit:amd64 2.88dsf-41
2013-05-24 05:22:47 status unpacked sysvinit:amd64 2.88dsf-41
2013-05-24 05:22:47 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2
2013-05-24 05:22:47 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2
2013-05-24 05:22:48 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2013-05-24 05:22:48 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2
2013-05-24 05:22:48 startup packages configure
2013-05-24 05:22:48 configure lsb-base:all 4.1+Debian8 <none>
2013-05-24 05:22:48 status unpacked lsb-base:all 4.1+Debian8
2013-05-24 05:22:48 status half-configured lsb-base:all 4.1+Debian8
2013-05-24 05:22:48 status installed lsb-base:all 4.1+Debian8
2013-05-24 05:22:48 configure ncurses-base:all 5.9-10 <none>
2013-05-24 05:22:48 status unpacked ncurses-base:all 5.9-10
2013-05-24 05:22:48 status unpacked ncurses-base:all 5.9-10
2013-05-24 05:22:49 status half-configured ncurses-base:all 5.9-10
2013-05-24 05:22:49 status installed ncurses-base:all 5.9-10
2013-05-24 05:22:49 configure sensible-utils:all 0.0.7 <none>
2013-05-24 05:22:49 status unpacked sensible-utils:all 0.0.7
2013-05-24 05:22:49 status half-configured sensible-utils:all 0.0.7
